person_id,sex,race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,decile_score
1,Male,Other,69,0,0,0,0,1
3,Male,African-American,34,0,0,0,0,3
4,Male,African-American,24,0,0,1,4,4
5,Male,African-American,23,0,1,0,1,8
6,Male,Other,43,0,0,0,2,1
8,Male,Caucasian,41,0,0,0,14,6
9,Male,Other,43,0,0,0,3,4
10,Female,Caucasian,39,0,0,0,0,1
11,Male,Caucasian,20,0,0,1,0,10
12,Female,Caucasian,26,0,0,0,0,5
13,Male,Caucasian,21,0,0,0,1,3
14,Male,Caucasian,27,0,0,0,0,4
15,Male,African-American,23,0,0,0,3,6
16,Female,Caucasian,37,0,0,0,0,1
17,Male,Caucasian,22,0,0,0,0,3
19,Female,Caucasian,47,0,0,0,1,1
20,Male,African-American,31,0,0,0,7,3
22,Male,African-American,25,0,0,0,3,10
23,Male,Caucasian,31,0,0,0,6,5
24,Male,Caucasian,31,0,0,0,5,3
25,Male,African-American,64,0,0,0,13,6
26,Male,African-American,21,0,0,0,1,9
28,Female,Caucasian,21,0,0,0,0,4
29,Male,African-American,24,0,0,0,2,-1
30,Male,Hispanic,24,0,0,0,1,4
31,Male,Caucasian,42,0,0,0,1,3
32,Male,Caucasian,43,0,0,0,1,1
33,Male,Other,32,0,0,0,0,3
34,Female,African-American,54,0,0,0,0,9
35,Male,African-American,44,0,0,0,8,6
37,Male,African-American,27,0,0,0,8,3
38,Female,Caucasian,36,0,0,0,3,3
39,Male,African-American,26,0,0,1,5,7
40,Male,African-American,33,0,0,0,0,10
42,Male,African-American,32,0,0,0,4,8
43,Male,African-American,63,0,0,0,0,1
44,Male,Hispanic,27,0,0,0,2,3
45,Male,Caucasian,55,0,0,0,0,1
48,Male,African-American,38,0,0,2,5,3
49,Male,Caucasian,53,0,0,0,19,5
51,Male,Caucasian,26,0,0,2,6,8
52,Female,Caucasian,33,0,0,0,4,5
55,Male,Caucasian,29,0,0,0,0,2
56,Female,African-American,21,0,0,0,2,8
57,Male,African-American,51,0,0,0,2,1
61,Female,African-American,51,0,0,0,7,2
62,Male,Caucasian,28,0,0,0,8,7
63,Male,African-American,36,0,0,0,22,9
64,Male,African-American,29,0,0,0,0,7
65,Male,Other,29,0,0,0,0,1
66,Male,Caucasian,25,0,0,0,9,10
67,Male,African-American,35,1,0,4,13,8
68,Male,Caucasian,49,0,0,0,0,1
69,Male,African-American,34,0,0,0,4,3
71,Male,Caucasian,29,0,0,0,1,2
72,Female,Other,28,0,0,0,0,2
73,Male,Caucasian,51,0,0,0,0,2
74,Male,Caucasian,25,0,0,0,0,3
77,Female,Hispanic,63,0,0,0,1,1
78,Male,African-American,30,0,0,1,3,6
