person_id,sex,race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,decile_score
4072,Male,African-American,41,0,0,0,0,(F3),1
3483,Male,Caucasian,39,0,0,0,0,(M1),1
9284,Male,Caucasian,31,0,0,0,0,(F3),1
792,Male,Other,25,0,0,0,0,(M1),1
682,Male,African-American,27,1,0,0,2,(F3),8
9904,Male,African-American,25,0,0,1,5,(F3),9
2915,Male,Caucasian,38,0,0,0,2,(F3),4
6896,Male,Hispanic,31,0,0,0,0,(F3),10
11643,Male,Caucasian,34,0,0,0,1,(M2),1
8768,Male,African-American,21,0,0,0,1,(F7),3
3507,Male,Hispanic,60,0,0,0,0,(F3),1
3432,Male,African-American,52,0,0,0,1,(F3),3
10390,Male,Caucasian,29,0,0,0,3,(F3),4
4031,Male,African-American,53,0,0,0,0,(M1),1
11605,Male,Other,24,0,0,0,3,(M2),5
2930,Male,African-American,29,0,0,0,10,(M2),10
2524,Male,Other,21,0,0,0,0,(M2),6
3926,Male,Other,34,0,0,0,0,(F3),2
5134,Male,Caucasian,27,0,0,1,18,(F3),9
3043,Male,African-American,34,0,0,0,3,(F3),7
7966,Male,African-American,33,4,0,0,12,(F2),10
4127,Female,African-American,19,0,0,0,0,(M2),8
9180,Male,African-American,24,0,0,0,3,(F3),7
6937,Female,Caucasian,29,0,0,0,0,(F1),4
5915,Male,Caucasian,23,0,0,0,0,(F3),9
8595,Male,Caucasian,47,0,0,0,11,(F3),4
6718,Male,Caucasian,69,0,0,0,0,(F3),1
796,Male,Caucasian,24,0,0,0,0,(F3),2
2949,Male,Caucasian,46,0,0,0,1,(F3),1
1019,Female,African-American,36,0,0,0,3,(F2),4
3092,Female,African-American,31,0,0,0,1,(M1),2
4542,Male,African-American,43,0,0,0,18,(M2),8
2071,Male,African-American,32,0,0,0,11,(M2),9
5447,Male,African-American,34,1,0,0,21,(M1),10
8570,Male,Caucasian,45,0,0,0,0,(F3),6
1982,Male,Asian,46,0,0,0,0,(M1),1
4226,Male,Caucasian,31,0,0,0,3,(F3),4
10708,Male,Caucasian,26,0,0,0,1,(F3),4
9033,Male,Other,24,0,0,0,1,(F3),3
10763,Male,African-American,47,0,0,0,0,(M1),1
4015,Male,Hispanic,26,0,0,0,9,(F3),8
9204,Male,Caucasian,33,0,0,1,1,(F3),4
1918,Male,Caucasian,44,0,0,0,0,(M1),1
6637,Female,Caucasian,32,0,0,1,0,(M1),1
7401,Male,African-American,45,0,0,0,7,(F3),1
2402,Male,African-American,46,0,0,1,15,(F3),7
9327,Male,African-American,22,0,0,0,1,(F3),9
9493,Male,African-American,31,0,0,0,0,(F3),5
8519,Male,Caucasian,54,0,0,0,0,(M2),1
3481,Female,African-American,27,0,0,0,2,(M1),4
236,Male,Hispanic,63,0,0,0,1,(F3),1
6206,Male,Hispanic,47,0,0,0,1,(F3),1
6703,Male,African-American,30,0,0,0,4,(F3),2
6748,Male,Other,23,0,0,0,0,(M1),3
5068,Male,Caucasian,31,0,0,0,0,(F3),7
8049,Male,Caucasian,41,0,0,0,0,(M1),1
7681,Male,Other,54,0,0,0,1,(F3),1
11388,Male,African-American,39,1,0,0,12,(F2),6
1737,Female,African-American,34,0,0,0,14,(F3),9
20,Male,African-American,31,0,0,0,7,(F3),3
7875,Male,African-American,25,0,0,0,4,(F3),9
8836,Male,African-American,20,0,0,0,0,(M1),7
1069,Male,Caucasian,53,0,0,0,1,(F1),1
8001,Male,Hispanic,26,0,0,0,1,(F3),2
8677,Female,African-American,40,0,0,0,3,(F3),2
8011,Male,African-American,23,0,0,1,1,(F3),10
2068,Male,Other,22,0,0,0,0,(M1),2
8384,Female,African-American,39,0,0,0,3,(F1),3
2345,Male,Hispanic,20,0,0,0,0,(M1),5
10956,Female,Caucasian,61,0,0,0,1,(M1),1
2728,Male,Asian,24,0,0,0,0,(M1),3
10446,Male,African-American,23,0,0,0,0,(F3),4
2963,Male,Caucasian,34,0,0,0,0,(F3),4
4312,Male,Caucasian,24,0,0,0,0,(F3),3
6890,Male,Caucasian,51,0,0,0,1,(M1),1
6791,Male,African-American,57,0,0,0,3,(F3),1
1551,Male,Hispanic,53,0,0,0,0,(M1),1
5561,Male,African-American,30,0,0,0,0,(F3),1
9353,Male,Caucasian,31,0,0,0,1,(F3),3
4614,Male,African-American,39,0,0,0,11,(F3),9
3392,Male,Caucasian,48,0,0,0,0,(M1),1
5053,Male,African-American,21,0,0,0,1,(F7),7
3485,Male,African-American,28,0,0,0,4,(F3),2
7224,Male,African-American,24,0,0,0,1,(F3),3
2488,Female,Caucasian,46,0,0,0,0,(M1),1
600,Female,Hispanic,28,0,0,0,0,(F7),2
5102,Female,African-American,21,0,0,0,1,(F3),7
199,Male,Caucasian,28,0,0,0,2,(F3),1
8285,Male,African-American,28,0,0,0,8,(M1),6
9958,Male,Hispanic,25,0,0,0,0,(M1),6
7795,Male,African-American,34,0,0,0,2,(F3),2
5636,Male,African-American,42,0,0,0,10,(F3),7
160,Male,African-American,59,0,0,0,14,(F3),9
8346,Male,Caucasian,45,0,0,0,0,(M2),1
1258,Male,African-American,52,1,0,0,9,(M1),8
1269,Male,African-American,29,0,0,0,2,(M1),4
3906,Male,African-American,29,0,0,0,13,(F3),8
2251,Male,Caucasian,47,0,0,0,1,(M2),1
4963,Male,Caucasian,20,0,0,0,0,(F3),5
7217,Male,Caucasian,26,0,0,0,7,(F3),5
11419,Male,African-American,40,0,0,0,14,(F3),4
2969,Male,Caucasian,59,0,0,0,3,(M1),1
10105,Male,Caucasian,31,0,0,0,8,(M1),9
7028,Male,Caucasian,36,0,0,0,5,(F3),3
8805,Female,African-American,52,0,0,0,3,(F3),1
7696,Male,African-American,31,0,0,0,9,(F1),4
6473,Male,African-American,34,0,0,0,7,(F3),5
2346,Male,African-American,27,0,0,0,9,(F3),7
10437,Male,Caucasian,27,0,0,1,2,(M1),4
10419,Male,Hispanic,32,0,0,0,6,(M1),5
4313,Male,African-American,26,0,0,0,2,(F3),8
7049,Male,Caucasian,38,0,0,0,1,(F3),2
1506,Female,Caucasian,36,0,0,0,4,(F1),9
6185,Male,African-American,27,0,0,0,3,(F3),9
4980,Male,Caucasian,29,0,0,0,1,(M2),3
8084,Male,Caucasian,44,0,0,0,5,(F7),2
3200,Male,African-American,35,0,0,0,1,(F2),1
179,Male,Caucasian,44,0,0,0,0,(M2),1
39,Male,African-American,26,0,0,1,5,(F3),7
2849,Male,African-American,52,0,0,0,17,(F3),8
10186,Female,Caucasian,44,0,0,0,3,(F3),6
7442,Male,Other,26,0,0,0,0,(F3),5
1898,Female,Caucasian,26,0,0,0,0,(F3),4
3648,Male,African-American,49,0,0,0,10,(F3),6
11155,Male,African-American,21,0,0,0,0,(F3),8
6194,Male,African-American,53,0,0,0,10,(M1),2
6899,Male,Caucasian,39,0,0,0,0,(M2),2
6797,Male,African-American,29,0,0,0,0,(M1),1
2891,Male,Hispanic,21,0,0,0,1,(M1),5
5605,Male,African-American,38,0,0,0,0,(F3),1
6880,Male,Hispanic,31,0,0,0,0,(F3),1
10174,Male,Caucasian,44,0,0,0,0,(F3),7
6691,Female,Caucasian,28,0,0,0,7,(F3),9
7896,Male,African-American,22,0,0,0,0,(F3),7
3295,Male,Hispanic,44,0,0,0,0,(M1),1
6502,Male,African-American,27,0,0,1,8,(M1),7
8313,Male,Other,56,0,0,0,6,(F3),2
3032,Male,African-American,32,0,0,1,8,(F2),4
9999,Male,Caucasian,34,0,0,0,3,(M1),4
8148,Male,Caucasian,61,0,0,0,0,(M1),1
6227,Female,African-American,23,0,0,0,2,(F2),7
681,Male,Caucasian,24,0,0,0,0,(M1),1
9723,Male,African-American,23,0,0,0,0,(M1),4
2799,Male,African-American,23,0,0,0,4,(F3),8
253,Male,African-American,31,0,0,0,0,(M1),1
3782,Male,African-American,32,0,0,0,16,(F3),10
3595,Male,African-American,26,0,0,1,3,(M2),9
32,Male,Caucasian,43,0,0,0,1,(M2),1
7573,Male,African-American,33,0,2,2,16,(F3),9
8269,Female,African-American,29,0,1,0,11,(F7),9
8501,Male,African-American,33,0,0,1,14,(F3),10
6610,Male,African-American,22,0,0,0,3,(F1),10
10715,Female,Caucasian,37,0,0,0,2,(F2),5
6358,Male,Hispanic,25,0,0,0,9,(M1),8
556,Male,African-American,29,0,1,0,7,(M1),2
8356,Female,Caucasian,25,0,0,0,1,(M2),4
8918,Female,Caucasian,29,0,0,0,1,(F3),2
3134,Male,African-American,24,0,0,0,1,(M1),4
4891,Female,Caucasian,27,0,0,0,1,(F3),4
11679,Male,African-American,26,0,0,0,1,(F2),3
4813,Male,African-American,60,0,0,0,11,(F3),10
11060,Female,Native American,27,1,0,0,1,(M1),3
6568,Male,Caucasian,27,0,0,0,1,(F3),2
3373,Male,Caucasian,33,0,0,0,1,(F2),1
5019,Male,African-American,30,0,0,0,8,(F2),9
11299,Female,Caucasian,37,0,0,0,0,(M1),1
11244,Male,Hispanic,30,0,0,0,2,(M2),2
3433,Male,African-American,23,0,0,0,1,(M1),5
385,Male,African-American,20,0,0,0,1,(F3),8
1157,Male,Native American,27,0,0,0,3,(M1),7
7592,Male,Caucasian,22,0,0,0,0,(M1),3
5932,Male,Caucasian,36,0,0,0,4,(F3),8
752,Male,Caucasian,29,0,0,0,0,(M1),4
6965,Female,Other,41,0,0,0,2,(F7),3
7490,Female,African-American,31,0,0,0,1,(M2),5
5404,Female,African-American,36,0,0,0,2,(M1),5
6063,Male,Caucasian,45,0,0,0,2,(F3),2
3251,Male,Caucasian,36,0,0,0,1,(M1),2
7616,Female,African-American,37,0,0,0,2,(F3),1
10180,Female,Caucasian,44,0,0,0,1,(M1),3
370,Female,Caucasian,33,0,0,0,0,(F3),2
216,Male,Caucasian,59,0,0,0,1,(F3),2
2363,Male,Caucasian,41,0,0,0,5,(F3),1
4457,Male,African-American,30,0,0,0,5,(F3),4
5731,Male,Caucasian,27,0,0,0,13,(F3),6
627,Male,African-American,53,0,0,0,11,(F7),6
8746,Male,Caucasian,37,0,0,0,3,(F3),4
11745,Male,African-American,56,0,0,0,3,(F3),4
8462,Male,Caucasian,31,0,0,0,1,(F3),5
5304,Female,Caucasian,23,0,0,1,0,(M1),3
3344,Male,African-American,38,0,0,0,2,(F7),7
4743,Male,Hispanic,35,0,0,0,5,(F3),7
8216,Male,African-American,27,0,0,0,3,(M1),3
6371,Male,African-American,37,0,0,0,12,(F3),9
3261,Female,Caucasian,49,0,0,0,1,(F3),1
1849,Male,African-American,28,0,0,0,5,(F3),6
7298,Female,African-American,42,0,0,0,1,(F3),2
10311,Female,African-American,27,0,0,0,0,(M1),3
10626,Male,Caucasian,46,0,0,0,0,(F3),1
6950,Male,Caucasian,51,0,0,0,3,(F3),6
6976,Male,Caucasian,26,0,0,0,0,(M1),4
6228,Male,Caucasian,64,0,0,0,0,(M2),1
11651,Male,African-American,31,0,1,0,12,(F2),9
1931,Male,Caucasian,44,0,0,0,0,(M1),1
6320,Male,African-American,39,0,0,0,21,(F3),10
3026,Male,Caucasian,52,0,0,0,3,(F2),4
693,Male,Caucasian,52,0,0,0,6,(F3),5
3422,Male,Caucasian,35,0,0,0,0,(F3),5
1821,Female,Caucasian,26,0,0,0,3,(M1),3
1645,Female,African-American,22,0,0,0,1,(F3),6
920,Male,Other,50,0,0,0,4,(M1),1
1761,Male,Caucasian,21,0,0,0,2,(F3),6
4377,Male,African-American,23,0,0,0,3,(F3),8
1507,Female,Other,34,0,0,0,1,(M1),6
9787,Female,African-American,21,0,0,0,0,(F2),5
6855,Male,Caucasian,31,0,0,0,1,(F3),2
5709,Male,African-American,28,0,0,0,1,(F3),2
10532,Male,African-American,37,0,0,0,4,(M1),4
1782,Male,African-American,26,0,0,0,2,(M1),3
11590,Male,Caucasian,46,0,0,0,1,(F3),1
5509,Male,African-American,36,0,0,0,7,(F2),10
8088,Male,Caucasian,45,0,0,0,0,(F3),7
662,Female,Caucasian,24,0,0,0,0,(F3),5
6315,Male,African-American,30,0,0,0,9,(F3),3
1575,Male,African-American,28,0,0,0,3,(M2),3
2087,Male,African-American,22,0,0,0,1,(M1),6
7348,Male,African-American,38,0,0,0,0,(M1),2
7386,Male,African-American,23,0,0,1,2,(F3),7
4100,Male,Caucasian,24,0,0,0,3,(M2),8
5598,Male,Hispanic,26,0,0,0,1,(F3),5
9611,Male,Other,50,0,0,0,1,(M2),1
11401,Male,Asian,40,0,0,0,0,(M1),1
1300,Female,Caucasian,21,0,0,0,0,(M1),5
11230,Male,Other,55,0,0,0,2,(F3),1
1020,Male,Other,54,0,0,0,0,(F3),1
5617,Male,Caucasian,58,0,0,0,1,(M1),1
895,Male,Other,31,0,0,0,1,(F3),2
8171,Male,Caucasian,38,0,0,0,0,(M2),2
1130,Male,Caucasian,30,0,0,0,22,(F3),5
10819,Male,Asian,20,0,1,0,2,(F3),10
4515,Male,African-American,41,0,0,0,14,(F2),7
786,Female,Caucasian,48,0,0,0,0,(M2),1
10940,Male,Caucasian,30,0,0,0,2,(M1),9
1678,Male,African-American,66,0,0,0,3,(F3),1
9270,Male,African-American,44,0,0,0,3,(M2),6
680,Male,African-American,38,0,0,0,5,(F3),3
3145,Male,African-American,30,0,1,1,7,(F3),5
2080,Male,African-American,25,0,0,0,1,(F3),3
5215,Male,Caucasian,29,0,0,0,0,(F3),2
7210,Male,African-American,27,0,0,0,1,(F3),8
11699,Male,African-American,21,0,0,0,0,(F3),4
10488,Male,African-American,45,0,0,0,5,(F2),3
4048,Male,Caucasian,33,0,0,0,3,(F3),8
227,Female,African-American,31,0,0,0,0,(F3),3
3904,Female,African-American,59,0,0,0,0,(M1),2
262,Female,Caucasian,37,0,0,0,6,(F3),10
10415,Male,African-American,42,0,0,0,1,(F3),1
10781,Male,African-American,47,0,0,0,1,(F3),1
3958,Male,Caucasian,44,0,0,0,0,(F3),1
3401,Male,African-American,46,0,0,0,3,(M2),1
9041,Male,Caucasian,36,0,0,0,0,(M1),1
5290,Male,Caucasian,67,0,0,0,0,(M1),1
2693,Male,Hispanic,26,0,0,0,4,(F2),9
2823,Male,Other,40,0,0,0,0,(F3),1
6525,Male,Caucasian,51,0,0,0,1,(F3),1
11009,Male,African-American,37,0,0,0,5,(F3),8
3366,Female,African-American,34,0,0,0,0,(M1),8
2988,Male,Caucasian,57,0,0,0,2,(F1),1
1135,Male,Caucasian,24,0,0,0,1,(F3),3
2781,Male,Caucasian,35,0,0,0,1,(F3),4
9969,Male,Caucasian,45,0,0,0,5,(F3),5
11638,Male,African-American,25,1,3,0,11,(F2),10
9763,Male,Caucasian,28,0,0,0,7,(M2),10
3912,Male,Caucasian,35,0,0,0,4,(M2),2
9464,Male,Caucasian,24,0,0,0,0,(M1),2
5152,Male,African-American,26,0,0,0,1,(F3),10
2054,Male,Caucasian,25,0,0,0,0,(F3),2
10670,Female,African-American,45,0,0,0,0,(F3),1
8800,Female,Caucasian,41,0,0,0,9,(M2),4
5282,Male,Caucasian,27,0,0,0,0,(F3),9
3291,Male,African-American,37,0,0,0,8,(M1),2
9783,Male,African-American,23,0,0,0,6,(F3),4
9357,Male,African-American,36,0,0,0,6,(M1),4
11461,Male,African-American,26,0,0,0,6,(M1),9
11124,Male,Caucasian,22,1,2,3,7,(F3),8
8711,Male,Other,24,0,0,0,0,(F3),6
11619,Female,African-American,51,0,0,0,2,(M1),6
7047,Male,Native American,40,0,0,0,2,(M2),6
2666,Female,African-American,34,0,0,0,5,(F3),5
4593,Male,Asian,38,0,0,0,0,(M1),1
5529,Male,African-American,27,0,0,0,1,(M2),2
1544,Male,Caucasian,30,0,0,0,13,(F3),6
11217,Male,African-American,31,1,0,0,27,(F3),9
6178,Male,Caucasian,27,0,0,0,5,(M2),4
7803,Female,African-American,27,0,0,0,0,(M1),2
9714,Male,African-American,23,0,0,0,8,(F3),10
3543,Female,Caucasian,39,0,0,0,4,(F3),1
8129,Male,African-American,27,0,0,1,5,(F3),9
1115,Male,African-American,37,0,0,0,7,(F3),4
10750,Female,Caucasian,52,0,0,0,0,(M1),3
10883,Male,African-American,30,0,0,0,3,(F3),4
8614,Male,African-American,42,0,0,0,6,(M1),5
6223,Male,Other,54,0,0,0,2,(M2),1
6803,Male,African-American,56,0,0,0,5,(F1),2
10236,Female,Caucasian,22,0,0,0,0,(M1),9
10370,Female,Caucasian,26,0,0,0,0,(F3),3
8652,Male,African-American,30,0,0,0,1,(F3),1
6046,Male,African-American,49,2,0,0,13,(F3),3
6685,Male,African-American,44,0,0,0,0,(M1),5
5326,Male,Caucasian,34,0,0,0,3,(M1),4
2871,Male,African-American,21,0,0,1,0,(F3),9
10549,Male,Other,31,0,0,0,0,(F3),3
9453,Male,Caucasian,30,1,0,0,2,(F2),5
9439,Male,African-American,28,0,0,0,2,(F2),6
