person_id,sex,race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,is_recid
11749,Male,Caucasian,23,0,0,0,0,0
602,Male,African-American,36,0,0,0,14,1
11556,Male,Hispanic,26,0,0,0,0,0
11006,Female,African-American,34,0,0,0,0,0
8474,Male,African-American,20,0,1,0,1,0
10949,Male,African-American,19,1,0,0,1,1
2058,Male,African-American,20,0,0,1,0,1
2573,Female,Caucasian,44,0,0,0,4,1
10709,Male,Caucasian,74,0,0,0,0,0
3317,Female,Caucasian,32,0,0,0,18,0
7377,Male,Caucasian,29,0,0,0,1,0
11438,Male,African-American,68,0,0,0,1,0
6636,Male,Caucasian,21,0,0,1,0,0
8613,Male,Caucasian,33,0,0,0,2,0
1872,Male,African-American,35,0,0,0,0,0
9285,Male,African-American,47,0,0,0,3,0
7005,Male,African-American,32,0,0,0,2,0
918,Female,African-American,38,0,0,0,1,0
8416,Female,African-American,24,0,0,0,0,0
8947,Male,Caucasian,33,0,0,0,3,0
11120,Female,Other,23,0,0,0,1,0
3155,Male,Other,39,0,1,0,4,1
8444,Male,Caucasian,28,0,0,0,0,0
5275,Male,African-American,29,0,0,0,5,0
6241,Male,Caucasian,33,0,2,0,2,0
4515,Male,African-American,41,0,0,0,14,0
3270,Male,African-American,21,0,1,0,1,1
68,Male,Caucasian,49,0,0,0,0,0
308,Male,African-American,27,0,0,0,0,0
2908,Male,African-American,23,0,0,0,0,0
53,Male,Caucasian,24,0,0,0,1,1
4573,Male,Caucasian,46,0,0,0,0,0
5239,Male,African-American,46,0,0,0,3,0
10930,Male,African-American,29,0,2,0,7,1
10507,Male,Caucasian,33,0,0,0,1,0
3107,Male,Caucasian,46,0,0,0,0,0
832,Male,Caucasian,71,0,0,0,0,0
6404,Male,Caucasian,25,0,0,0,0,0
810,Male,African-American,25,0,1,0,1,1
5106,Male,Caucasian,25,0,0,1,6,1
8515,Female,African-American,36,0,0,0,1,0
5566,Male,African-American,20,13,0,1,13,0
9125,Male,Caucasian,51,0,0,0,1,1
3045,Male,African-American,64,0,0,0,7,0
7501,Female,African-American,27,0,0,0,1,0
5704,Male,Caucasian,35,0,0,0,1,0
55,Male,Caucasian,29,0,0,0,0,0
7069,Male,Caucasian,30,0,1,1,5,0
2363,Male,Caucasian,41,0,0,0,5,0
5722,Male,African-American,46,0,0,0,9,0
9959,Female,African-American,22,0,0,0,0,0
1913,Male,African-American,21,0,0,0,0,0
795,Male,Other,42,0,0,0,0,0
9733,Male,African-American,21,0,0,0,0,1
1054,Male,African-American,21,1,0,0,2,0
8123,Male,Other,60,0,0,0,0,0
5827,Male,African-American,23,0,0,0,2,1
3521,Male,African-American,19,0,1,0,1,1
412,Male,Caucasian,35,0,0,0,9,0
6712,Female,Caucasian,41,0,0,0,1,0
861,Male,Caucasian,25,0,0,0,2,1
2398,Female,Caucasian,56,0,0,0,1,0
5312,Male,Caucasian,31,0,0,0,5,1
4077,Male,African-American,27,0,1,0,7,0
8113,Male,African-American,19,1,2,0,3,1
4495,Male,African-American,22,0,0,0,1,0
10462,Female,Caucasian,34,0,0,0,0,0
11008,Male,African-American,24,0,0,0,2,0
9228,Female,African-American,49,0,0,0,7,0
7128,Male,Caucasian,34,0,0,0,3,0
4274,Male,African-American,25,0,0,0,4,1
7848,Female,Caucasian,21,0,0,0,0,0
6528,Male,African-American,29,1,2,0,6,1
8988,Male,African-American,20,0,0,2,1,0
7026,Male,African-American,35,0,0,0,7,0
1668,Male,African-American,37,2,0,0,18,0
10882,Female,Caucasian,24,0,0,0,1,0
1231,Male,Caucasian,26,0,0,0,0,0
