person_id,sex,race,age,juv_fel_count,juv_misd_count,juv_other_count,decile_score,priors_count,is_violent_recid
10961,Male,African-American,43,0,0,0,1,1,0
10669,Male,Caucasian,56,0,0,0,1,0,0
3212,Male,African-American,25,0,0,0,7,0,0
10035,Female,African-American,53,0,0,0,5,0,0
2857,Male,African-American,25,0,0,1,9,2,0
4298,Female,Hispanic,54,0,0,0,1,2,0
8287,Female,Caucasian,21,0,3,1,7,3,1
3052,Male,Caucasian,29,0,0,0,5,1,0
9224,Male,Caucasian,39,0,0,0,1,0,0
7540,Male,African-American,31,0,0,0,8,6,0
211,Male,Hispanic,53,0,0,0,4,1,0
10460,Male,African-American,37,0,0,0,1,0,0
976,Male,African-American,20,0,0,0,5,1,0
10947,Male,African-American,61,0,0,0,9,4,0
1695,Male,African-American,35,0,0,0,10,3,0
9158,Female,Other,27,0,0,0,3,0,0
2614,Male,Caucasian,28,0,0,0,4,6,0
3282,Male,Caucasian,28,0,0,0,2,2,0
7184,Male,African-American,26,0,0,0,8,2,0
3559,Male,Other,54,0,0,0,1,2,0
7526,Male,Caucasian,23,0,0,0,3,0,0
644,Male,African-American,58,0,0,0,7,21,0
2676,Male,Caucasian,32,0,0,0,4,2,1
7997,Male,African-American,51,1,0,0,8,19,0
3453,Male,African-American,45,0,0,0,3,15,0
6315,Male,African-American,30,0,0,0,3,9,0
9734,Male,Caucasian,24,0,0,0,4,0,0
10730,Female,African-American,36,0,0,0,2,1,0
5185,Male,African-American,26,0,0,0,2,1,0
7378,Male,African-American,50,0,0,0,2,0,0
11349,Male,African-American,30,0,0,0,2,0,0
9362,Male,Caucasian,50,0,0,0,2,0,0
5306,Female,Other,39,0,0,0,3,0,0
11380,Male,Hispanic,21,2,2,1,8,4,0
3635,Female,African-American,24,0,0,0,4,2,0
763,Male,Hispanic,26,0,0,0,5,7,0
5111,Male,African-American,25,0,0,0,3,1,0
4045,Female,Caucasian,45,0,0,0,3,1,0
441,Male,Other,24,0,0,0,3,0,0
2500,Female,Caucasian,58,0,0,0,4,5,0
11334,Male,African-American,29,0,0,0,1,0,0
10389,Male,Caucasian,26,0,0,0,6,7,0
2620,Male,African-American,25,0,0,1,9,7,0
3692,Male,African-American,41,0,0,0,2,8,0
8768,Male,African-American,21,0,0,0,3,1,0
9330,Male,Caucasian,21,0,0,1,5,3,0
836,Male,Hispanic,43,0,0,0,1,2,0
5793,Female,African-American,36,0,0,0,3,1,1
5386,Female,Caucasian,37,0,0,0,1,1,0
1070,Male,African-American,26,0,1,0,6,8,0
6371,Male,African-American,37,0,0,0,9,12,0
9458,Male,African-American,23,0,0,0,3,0,0
4576,Female,Caucasian,30,0,0,0,3,1,0
94,Female,Caucasian,34,0,0,0,1,0,0
1816,Female,Caucasian,29,0,0,0,10,11,0
7209,Male,African-American,43,0,0,0,6,12,0
3251,Male,Caucasian,36,0,0,0,2,1,0
6107,Female,Caucasian,24,0,0,0,8,0,0
1322,Male,Caucasian,23,0,0,0,6,0,0
3199,Female,Other,60,0,0,0,1,0,0
11129,Male,African-American,22,0,0,0,8,0,0
6100,Male,Caucasian,34,0,0,0,1,0,0
5458,Male,African-American,24,0,0,0,3,1,0
3326,Male,African-American,33,0,0,0,10,4,0
5891,Male,Caucasian,41,0,0,0,1,0,0
10635,Male,Caucasian,44,0,0,0,2,4,0
2060,Male,African-American,31,0,0,0,5,3,0
10222,Male,Hispanic,53,0,0,0,9,3,0
8154,Male,African-American,23,0,0,0,8,1,0
3897,Male,Caucasian,30,0,0,0,3,0,0
6210,Male,African-American,21,1,0,0,10,1,1
6733,Male,African-American,22,0,0,0,4,0,0
2593,Female,African-American,26,0,0,0,5,3,0
7042,Male,African-American,25,0,1,0,9,10,0
6365,Male,African-American,48,0,0,1,9,8,0
11358,Female,African-American,28,0,0,0,6,7,0
3500,Male,Caucasian,25,0,0,0,6,2,0
2716,Male,Caucasian,32,0,0,0,5,5,0
7196,Male,African-American,53,0,0,0,2,6,0
8549,Male,Caucasian,73,0,0,0,1,6,0
9274,Female,African-American,24,0,0,0,4,2,0
10300,Male,Caucasian,56,0,0,0,1,0,0
11658,Female,Caucasian,22,0,0,0,4,1,0
3723,Female,Caucasian,25,0,0,0,3,0,0
4374,Male,Caucasian,25,0,0,0,3,3,0
3038,Female,Caucasian,64,0,0,0,3,7,0
9782,Male,African-American,29,0,0,0,10,11,0
5022,Male,African-American,59,0,0,0,4,8,0
9581,Female,African-American,23,0,0,0,3,0,0
5361,Male,African-American,26,0,0,0,4,1,0
1622,Male,African-American,53,0,0,0,3,2,0
1908,Male,Caucasian,20,0,0,0,10,0,0
9853,Male,Caucasian,46,0,0,0,6,11,0
8206,Female,African-American,20,0,0,0,9,2,0
2931,Male,African-American,40,0,0,0,2,0,0
3936,Male,African-American,43,0,0,0,10,6,0
1058,Male,African-American,28,0,0,0,4,2,0
3480,Male,African-American,53,0,0,0,2,1,0
6938,Male,Caucasian,66,0,0,0,1,1,0
8715,Female,African-American,20,0,0,1,7,0,1
11565,Female,African-American,26,0,0,0,9,15,0
11380,Male,Hispanic,21,2,2,1,8,4,0
2027,Male,African-American,32,0,0,0,7,0,0
4595,Male,African-American,29,0,0,0,7,5,0
5998,Male,African-American,38,0,0,0,4,1,0
7849,Male,Caucasian,44,0,0,0,1,1,0
8480,Male,Caucasian,47,0,0,0,1,0,0
314,Male,African-American,38,0,0,0,1,0,0
7123,Male,African-American,27,0,0,0,2,0,1
7044,Male,African-American,25,0,0,0,5,1,0
4894,Female,Other,35,0,0,0,1,0,0
1521,Male,Caucasian,50,0,0,0,1,0,0
8065,Male,African-American,28,0,0,0,2,4,0
9913,Male,Caucasian,50,0,0,0,1,0,0
5583,Male,African-American,37,0,0,0,7,11,1
5996,Male,African-American,29,0,0,0,8,29,0
4172,Female,Other,38,0,0,0,4,6,0
3758,Male,African-American,45,0,0,0,2,3,0
8198,Male,Caucasian,42,0,0,0,5,0,0
9098,Male,African-American,33,0,0,0,9,0,0
4448,Male,African-American,35,0,0,0,4,0,0
11197,Male,African-American,28,0,0,0,2,3,1
2693,Male,Hispanic,26,0,0,0,9,4,0
65,Male,Other,29,0,0,0,1,0,0
4796,Male,Other,24,0,0,0,6,5,0
1779,Male,Caucasian,61,0,0,0,2,0,0
1658,Female,Hispanic,54,0,0,0,1,0,0
